,maxPop,编组大小,公交分担,安检模式,编组大小x公交分担,label
10,88,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
11,71,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
12,71,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
13,82,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
14,82,城际列车,2035年,安检互认,城际列车 2035年,城际列车 2035年 安检互认
0,82,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
1,68,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
2,80,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
3,84,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
4,91,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
5,79,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
6,79,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
7,86,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
8,72,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
9,98,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
10,86,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
11,74,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
12,76,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
13,83,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
14,75,城际列车,2035年,人脸识别+安检互认,城际列车 2035年,城际列车 2035年 人脸识别+安检互认
0,106,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
1,95,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
2,113,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
3,113,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
4,90,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
5,91,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
6,95,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
7,108,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
8,113,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
9,86,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
10,95,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
11,96,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
12,97,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
13,97,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
14,106,城际列车,2045年,传统安检,城际列车 2045年,城际列车 2045年 传统安检
0,157,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
1,141,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
2,134,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
3,138,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
4,138,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
5,133,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
6,137,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
7,148,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
8,142,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
9,143,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
10,144,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
11,132,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
12,140,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
13,133,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
14,120,城际列车,2045年,安检互认,城际列车 2045年,城际列车 2045年 安检互认
0,141,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
1,130,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
2,148,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
3,144,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
4,145,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
5,141,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
6,144,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
7,159,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
8,134,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
9,153,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
10,130,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
11,145,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
12,150,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
13,140,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
14,127,城际列车,2045年,人脸识别+安检互认,城际列车 2045年,城际列车 2045年 人脸识别+安检互认
0,78,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
1,81,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
2,76,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
3,85,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
4,84,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
5,93,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
6,82,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
7,63,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
8,85,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
9,75,非城际列车,2035年,传统安检,非城际列车 2035年,非城际列车 2035年 传统安检
0,85,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
1,86,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
2,82,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
3,90,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
4,89,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
5,104,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
6,96,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
7,79,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
8,99,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
9,76,非城际列车,2035年,安检互认,非城际列车 2035年,非城际列车 2035年 安检互认
0,83,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
1,86,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
2,89,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
3,91,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
4,98,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
5,102,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
6,98,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
7,87,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
8,96,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
9,78,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年,非城际列车 2035年 人脸识别+安检互认
0,130,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
1,140,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
2,146,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
3,142,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
4,140,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
5,154,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
6,145,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
7,135,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
8,147,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
9,152,非城际列车,2045年,传统安检,非城际列车 2045年,非城际列车 2045年 传统安检
0,140,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
1,158,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
2,151,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
3,161,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
4,150,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
5,165,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
6,157,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
7,124,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
8,153,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
9,150,非城际列车,2045年,安检互认,非城际列车 2045年,非城际列车 2045年 安检互认
0,157,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
1,165,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
2,151,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
3,164,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
4,153,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
5,167,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
6,173,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
7,140,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
8,157,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
9,154,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年,非城际列车 2045年 人脸识别+安检互认
